id,name,inn,oou,subject_id,type_id,slug
1,"АО ""Абинскрайгаз""",2323004704,OU058,,,
2,"АО ""Азовмежрайгаз""",6140013610,OU171,,,
3,"АО ""Александровскрайгаз""",2601000104,OU044,,,
4,"АО ""Анапагоргаз""",2301012412,OU254,,,
5,"АО ""Андроповскрайгаз""",2603006020,OU052,,,
6,"АО ""Апанасенкирайгаз""",2602003299,OU061,,,
7,"АО ""Арзгиррайгаз""",2604002815,OU049,,,arzgirraigaz
8,"АО ""Армавиргоргаз""",2302012045,OU016,,,
9,"АО ""Белая Глинарайгаз""",2326002173,OU012,,,
10,"АО ""Белореченскрайгаз""",2303009415,OU255,,,
11,"АО ""Биробиджаноблгаз""","""",OU241,,,
12,"АО ""Благодарненскрайгаз""",2605001998,OU159,,,
13,"АО ""Брюховецкаярайгаз""",2327003571,OU256,,,
14,"АО ""Буденновскгазпромбытсервис""",2624000340,OU429,,,
15,"АО ""Волгоградгоргаз""",3434000560,OU008,,,ao_volgogradgorgaz
16,"АО ""Волгодонскмежрайгаз""",6143007171,OU106,,,
17,"АО ""Выселкирайгаз""",2328006102,OU257,,,
18,"АО ""Газпром газораспределение Астрахань""",3017004224,OU092,,,ao_gazprom_ghazoraspriedielieniie_astrakhan
19,"АО ""Газпром газораспределение Белгород""",3124010222,OU148,,,ao_gazprom_ghazoraspriedielieniie_bielghorod
20,"АО ""Газпром газораспределение Брянск""",3234007455,OU129,,,ao_gazprom_ghazoraspriedielieniie_briansk
21,"АО ""Газпром газораспределение Великий Новгород""",5321039753,OU134,,,ao_gazprom_ghazoraspriedielieniie_vielikii_novghorod
22,"АО ""Газпром газораспределение Владимир""",3328101380,OU006,,,ao_gazprom_ghazoraspriedielieniie_vladimir
23,"АО ""Газпром газораспределение Вологда""",3525025360,OU124,,,ao_gazprom_ghazoraspriedielieniie_vologhda
24,"ООО ""Газпром газораспределение Грозный""",2016005294,OU209,,,ao_gazprom_ghazoraspriedielieniie_groznyi
25,"АО ""Газпром газораспределение Дальний Восток""",2722010548,OU205,,,ao_gazprom_ghazoraspriedielieniie_dalnii_vostok
